,Source,Target,value,nb_transactions
0,396,Huobi.com,15155980355994.0,4557.0
1,ePay.info_CoinJoinMess,175,1397185857869.0,957.0
2,ePay.info_CoinJoinMess,122,3537343774101.0,1067.0
3,ePay.info_CoinJoinMess,PocketDice.io,119942558663.0,1485.0
4,BX.in.th,Poloniex.com,6686717252499.0,8718.0
5,FortuneJack.com,Rollin.io,2103886962.0,347.0
6,Poloniex.com,BTC-e.com,5243285922508552.0,151519.0
7,Huobi.com,57,588267780420.0,344.0
8,122,175,1596783955331.0,1333.0
9,57,ePay.info_CoinJoinMess,256216112502.0,2511.0
10,HolyTransaction.com,289,6314456507.0,929.0
11,396,FortuneJack.com,631708015293.0,1066.0
12,Cryptonator.com,999Dice.com,26605295293.0,4333.0
13,71554939,0,4875047466832.0,16505.0
14,ePay.info_CoinJoinMess,1391,57059443260666.0,869.0
15,Xapo.com,Cryptonator.com,18872920296568.0,18332.0
16,ePay.info_CoinJoinMess,1149,775196835072.0,1872.0
17,BtcTrade.com,ePay.info_CoinJoinMess,7030781753551.0,677.0
18,999Dice.com,PocketDice.io,33338173842.0,670.0
19,641,ePay.info_CoinJoinMess,16213071158.0,963.0
20,57,Poloniex.com,2078403386452.0,3016.0
21,SlushPool.com,CoinJar.com,1649662771156.0,539.0
22,417,Bter.com,47688889368.0,52.0
23,Xapo.com,Huobi.com,5543874431536.0,1760.0
24,ePay.info_CoinJoinMess,Bitcoin.de,335984950629341.0,15137.0
25,Xapo.com,101,8955215298029.0,10245.0
26,354,154,302975046517.0,448.0
27,HolyTransaction.com,999Dice.com,8020348857.0,1393.0
28,HolyTransaction.com,ePay.info_CoinJoinMess,6888339277.0,1428.0
29,BTCJam.com,107,19056533638.0,314.0
30,57,Rollin.io,4734798022.0,718.0
31,Xapo.com,292,3296106098425.0,2008.0
32,999Dice.com,CoinTrader.net_LocalBitcoins.com,127889829557.0,882.0
33,ePay.info_CoinJoinMess,Poloniex.com,575330713654263.0,33865.0
34,FortuneJack.com,HolyTransaction.com,817703881.0,209.0
35,SlushPool.com,523,1535766173114.0,537.0
36,ePay.info_CoinJoinMess,SafeDice.com,84170427375.0,301.0
37,HolyTransaction.com,SatoshiMines.com,1874224945.0,335.0
38,BitZillions.com,ePay.info_CoinJoinMess,2087414903586.0,41141.0
39,Bitstamp.net,BitBargain.co.uk,104358513730520.0,5902.0
40,SlushPool.com,Xapo.com,34792752686642.0,13361.0
41,999Dice.com,175,48328629379.0,220.0
42,SatoshiMines.com,Xapo.com,19991162137.0,6463.0
43,Poloniex.com,269,260958751096634.0,9150.0
44,ePay.info_CoinJoinMess,Huobi.com,3.4251663411630664e+16,624618.0
45,Xapo.com,FortuneJack.com,12510949751006.0,11745.0
46,ePay.info_CoinJoinMess,999Dice.com,5793049715007.0,17114.0
47,ePay.info_CoinJoinMess,421,1209898899289591.0,72222.0
48,BTCJam.com,BTC-e.com,34979334610.0,557.0
49,Xapo.com,BTC-e.com,19902452978970.0,13740.0
50,396,0,3838604486074.0,3845.0
51,0,ePay.info_CoinJoinMess,467096682528.0,69243.0
52,ePay.info_CoinJoinMess,BitZillions.com,4169616035606.0,59047.0
53,SatoshiMines.com,ePay.info_CoinJoinMess,30963561756.0,2241.0
54,PocketDice.io,HolyTransaction.com,10064162464.0,1731.0
55,Huobi.com,269,9466751401.0,25.0
56,ePay.info_CoinJoinMess,Cryptonator.com,110103548136684.0,56249.0
57,CoinMotion.com,Bitstamp.net,629670625446.0,366.0
58,0,289,9541980914.0,3967.0
59,ePay.info_CoinJoinMess,269,24149949569436.0,1639.0
60,ePay.info_CoinJoinMess,Loanbase.com,9082482408675.0,901.0
61,ePay.info_CoinJoinMess,57,884082163159039.0,25863.0
62,PocketDice.io,0,403916511448.0,62966.0
63,71554939,Cryptonator.com,708603302588.0,2240.0
64,Xapo.com,BTCJam.com,7772849205236.0,4078.0
65,Xapo.com,CoinPayments.net,19607467545413.0,24164.0
66,999Dice.com,0,380434557707.0,17208.0
67,Xapo.com,0,326992599188010.0,314066.0
68,HolyTransaction.com,0,4791421757.0,857.0
69,999Dice.com,BTC-e.com,76419704637.0,1331.0
70,107,348,91139432694.0,219.0
71,999Dice.com,Bter.com,2909113960.0,200.0
72,ePay.info_CoinJoinMess,523,68078983136601.0,3287.0
73,348,Bitstamp.net,68825707559.0,125.0
74,Bitstamp.net,BTC-e.com,107218599024957.0,6186.0
75,Xapo.com,289,47949737707716.0,26700.0
76,Xapo.com,YoBit.net,21183896944244.0,23911.0
77,BX.in.th,BTC-e.com,1031807567540.0,1683.0
78,1391,0,546465531042.0,21059.0
79,ePay.info_CoinJoinMess,LuckyB.it,10387793463949.0,160276.0
80,Huobi.com,417,24170116791548.0,6220.0
81,0,Xapo.com,1102672301308.0,61167.0
82,ePay.info_CoinJoinMess,35,2178076184856.0,1342.0
83,5162,BTCC.com,8393228599861.0,717.0
84,999Dice.com,SatoshiMines.com,7114270356.0,598.0
85,Bitstamp.net,898,77187233311824.0,5491.0
86,ePay.info_CoinJoinMess,292,68710350378964.0,4984.0
87,ePay.info_CoinJoinMess,354,14590244171967.0,506.0
88,0,SatoshiMines.com,44767076367.0,23253.0
89,417,BTCC.com,1808169377255.0,850.0
90,417,Poloniex.com,592926590349.0,458.0
91,Bit-x.com,CoinTrader.net_LocalBitcoins.com,74751555738.0,180.0
92,YoBit.net,523,10462202415.0,219.0
93,354,5162,4241475364387.0,2933.0
94,Bit-x.com,Bitstamp.net,4729407272030.0,488.0
95,Poloniex.com,0,1790096726476629.0,48604.0
96,CoinGaming.io,CoinTrader.net_LocalBitcoins.com,200118609592.0,695.0
97,Xapo.com,Bter.com,4665094774656.0,2875.0
98,CoinPayments.net,Cryptonator.com,52970563238.0,653.0
99,CoinPayments.net,ePay.info_CoinJoinMess,181423518213.0,2758.0
100,Bitstamp.net,0,88801452492098.0,4767.0
101,Xapo.com,107,7272806227648.0,11548.0
102,354,HaoBTC.com,1153425407646.0,1341.0
103,ePay.info_CoinJoinMess,HolyTransaction.com,16428858913262.0,17525.0
104,71554939,CoinSpot.com.au,84829786327.0,146.0
105,ePay.info_CoinJoinMess,BTCJam.com,30581053584890.0,3036.0
106,Poloniex.com,999Dice.com,121729892185088.0,3328.0
107,396,Loanbase.com,21239727936.0,43.0
108,999Dice.com,289,52267520743.0,3405.0
109,1226,CoinPayments.net,269636720.0,13.0
110,Xapo.com,269,4855813043472.0,3350.0
111,BTCJam.com,Bter.com,3482260781.0,82.0
112,Cryptonator.com,Xapo.com,17605480829.0,2320.0
113,0,Bter.com,17792067453.0,1759.0
114,57,1138,5137123658.0,596.0
